id,title,average_rating,budget,worldwide_gross,runtime
386,Andhadhun,8.2,4500000.0,62475342.0,139
387,Koyaanisqatsi,8.2,19000000.0,1728124.0,86
388,A Man Escaped,8.2,19000000.0,6130561.0,101
389,Sátántangó,8.2,19000000.0,6130561.0,439
390,Bhaag Milkha Bhaag,8.2,410000000.0,17551296.0,186
391,Napoléon vu par Abel Gance,8.2,20000000.0,39448.0,330
392,The Kid,8.2,250000.0,41979.0,68
393,They Shall Not Grow Old,8.2,19000000.0,21656913.0,99
394,A Brighter Summer Day,8.2,19000000.0,117372.0,237
395,Look on the Internet,8.2,19000000.0,6130561.0,98
396,Paris Is Burning,8.2,500000.0,3906006.0,78
397,Rocco and His Brothers,8.2,19000000.0,11328.0,179
398,Uri: The Surgical Strike,8.2,450000000.0,39346577.0,138
399,K.G.F: Chapter 1,8.2,800000000.0,6421597.0,154
400,Kantara,8.2,2000000.0,2406221.0,148
401,Hera Pheri,8.2,19000000.0,6130561.0,156
402,Ayla: The Daughter of War,8.2,19000000.0,946947.0,125
403,Searching for Sugar Man,8.2,19000000.0,9380362.0,86
404,Lion of the Desert,8.2,35000000.0,6130561.0,173
405,Gangs of Wasseypur,8.2,184000000.0,4384642.0,321
406,My Father and My Son,8.2,19000000.0,18612999.0,112
407,Zindagi Na Milegi Dobara,8.2,550000000.0,5192743.0,155
408,Pather Panchali,8.2,19000000.0,135342.0,125
409,Paradise Lost: The Child Murders at Robin Hood Hills,8.2,19000000.0,6130561.0,150
410,Bãhubali 2: The Conclusion,8.2,2500000000.0,254158390.0,167
411,Dersu Uzala,8.2,4000000.0,14480.0,142
412,Super Deluxe,8.2,19000000.0,273191.0,176
413,Sherlock Jr.,8.2,19000000.0,399.0,45
414,Hope,8.2,19000000.0,6130561.0,122
415,"Swades: We, the People",8.2,19000000.0,1953889.0,210
416,13th,8.2,19000000.0,566.0,100
417,Rangasthalam,8.2,19000000.0,551820.0,170
418,Umberto D.,8.2,19000000.0,72433.0,89
419,The Ascent,8.2,19000000.0,6130561.0,111
420,Life and a Day,8.2,19000000.0,6130561.0,112
421,Dag II,8.2,2000000.0,11378898.0,135
422,Ennio,8.2,19000000.0,4333771.0,156
423,Soy Cuba,8.2,19000000.0,274098.0,141
424,Banshun,8.2,19000000.0,19681.0,110
425,The Easy Life,8.2,19000000.0,6130561.0,108
426,Vikram Vedha,8.2,150000000.0,546792.0,147
427,Los olvidados,8.2,19000000.0,134918.0,85
428,Maanaadu,8.2,19000000.0,565759.0,147
429,Rascal Does Not Dream of a Dreaming Girl,8.2,19000000.0,3060705.0,89
430,Ordet,8.2,19000000.0,6130561.0,126
431,Disclosure,8.2,19000000.0,6130561.0,108
432,In & of Itself,8.2,19000000.0,6130561.0,90
434,HyperNormalisation,8.2,19000000.0,6130561.0,166
435,Make Way for Tomorrow,8.2,19000000.0,6416.0,91
436,I Am a Fugitive from a Chain Gang,8.2,195845.0,6130561.0,92
